,基站,故障_传输故障,故障_动环故障,故障_电力故障,故障_硬件故障,故障_误告警,故障_软件故障,告警0,告警1,告警2,告警3,告警4,告警5,告警6,告警7,告警8,告警9
78,23,0,0,1,0,0,0,53,52,32,53,52,60,32,34,32,60
79,24,0,0,1,0,0,0,30,66,0,0,0,0,0,0,0,0
80,25,0,0,1,0,0,0,30,66,66,0,0,0,0,0,0,0
81,25,0,0,1,0,0,0,66,30,66,66,0,0,0,0,0,0
82,26,0,0,1,0,0,0,32,52,15,52,15,52,15,15,15,15
83,26,0,0,1,0,0,0,52,15,32,52,52,60,32,52,52,15
84,26,0,0,1,0,0,0,52,60,32,15,60,52,60,52,15,60
85,26,0,0,1,0,0,0,60,34,52,0,0,0,0,0,0,0
86,26,0,0,1,0,0,0,60,52,15,32,52,15,52,15,15,52
87,26,0,0,1,0,0,0,34,52,60,52,60,32,60,18,16,34
88,27,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
89,28,0,0,1,0,0,0,60,7,52,85,0,0,0,0,0,0
90,28,0,0,1,0,0,0,60,7,52,85,0,0,0,0,0,0
91,28,1,0,0,0,0,0,52,60,7,85,60,53,0,0,0,0
92,28,0,0,1,0,0,0,60,7,52,85,0,0,0,0,0,0
93,28,0,0,1,0,0,0,60,7,52,85,60,7,52,85,60,7
94,28,0,0,1,0,0,0,60,7,52,85,60,7,52,85,53,60
95,28,0,0,1,0,0,0,52,7,60,85,60,52,53,85,0,0
96,28,0,0,1,0,0,0,60,52,7,85,0,0,0,0,0,0
97,28,0,0,1,0,0,0,60,7,52,85,0,0,0,0,0,0
98,28,0,0,1,0,0,0,60,7,52,85,0,0,0,0,0,0
99,28,0,0,1,0,0,0,52,7,60,85,60,7,52,85,0,0
100,29,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
101,30,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
102,31,1,0,0,0,0,0,64,60,64,60,64,64,60,64,0,0
103,32,0,0,1,0,0,0,32,53,52,60,53,0,0,0,0,0
104,32,0,0,1,0,0,0,60,34,0,0,0,0,0,0,0,0
105,32,0,0,1,0,0,0,53,52,60,32,34,60,53,0,0,0
106,33,0,0,1,0,0,0,53,52,60,52,53,0,0,0,0,0
107,34,0,0,1,0,0,0,85,85,85,85,85,6,34,60,45,45
108,34,0,0,1,0,0,0,85,85,85,85,85,85,85,85,85,85
109,35,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
110,36,0,0,1,0,0,0,60,34,53,0,0,0,0,0,0,0
111,37,0,0,1,0,0,0,30,66,30,66,66,30,30,66,30,66
112,37,0,0,1,0,0,0,30,66,66,0,0,0,0,0,0,0
113,38,1,0,0,0,0,0,66,66,0,0,0,0,0,0,0,0
114,39,0,0,1,0,0,0,53,60,34,60,6,34,6,7,6,60
115,39,1,0,0,0,0,0,7,25,85,60,34,53,60,34,53,0
116,39,0,0,0,1,0,0,25,34,7,60,85,60,34,0,0,0
117,39,0,0,0,1,0,0,51,51,60,52,51,51,51,51,51,51
118,40,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
119,41,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
120,42,0,0,1,0,0,0,66,66,66,66,66,0,0,0,0,0
121,43,0,0,1,0,0,0,60,52,53,55,0,0,0,0,0,0
122,43,0,0,1,0,0,0,60,52,55,53,55,53,52,60,0,0
123,43,0,0,1,0,0,0,60,52,55,53,53,52,60,55,53,0
124,43,0,0,1,0,0,0,60,52,55,53,53,0,0,0,0,0
125,44,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
126,45,0,0,1,0,0,0,66,66,66,0,0,0,0,0,0,0
127,45,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
128,46,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
129,47,0,0,1,0,0,0,85,22,26,48,0,0,0,0,0,0
130,47,0,0,0,1,0,0,71,69,85,22,48,26,22,1,48,0
131,48,0,0,1,0,0,0,60,1,34,53,60,0,0,0,0,0
132,49,0,0,0,1,0,0,30,66,0,0,0,0,0,0,0,0
133,50,0,0,1,0,0,0,7,9,25,85,0,0,0,0,0,0
134,50,0,0,1,0,0,0,25,7,85,0,0,0,0,0,0,0
135,50,0,0,1,0,0,0,60,34,0,0,0,0,0,0,0,0
136,50,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
137,51,0,0,1,0,0,0,1,47,60,58,34,7,25,0,0,0
138,51,1,0,0,0,0,0,7,7,7,60,0,0,0,0,0,0
139,51,1,0,0,0,0,0,7,7,7,7,60,7,7,25,60,7
140,51,0,0,1,0,0,0,7,49,49,60,7,57,60,60,0,0
141,52,1,0,0,0,0,0,28,51,0,0,0,0,0,0,0,0
142,52,1,0,0,0,0,0,60,52,0,0,0,0,0,0,0,0
143,52,1,0,0,0,0,0,55,55,55,55,55,55,55,55,55,55
144,52,1,0,0,0,0,0,7,52,0,0,0,0,0,0,0,0
145,53,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0
146,53,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0
147,53,0,0,0,1,0,0,7,60,7,0,0,0,0,0,0,0
148,53,0,0,0,1,0,0,7,60,9,7,60,9,60,9,60,60
149,54,0,0,1,0,0,0,60,52,53,0,0,0,0,0,0,0
150,55,0,0,1,0,0,0,85,22,48,26,0,0,0,0,0,0
151,55,0,0,1,0,0,0,1,60,58,34,1,34,58,60,4,1
152,55,0,0,1,0,0,0,1,58,60,34,0,0,0,0,0,0
153,55,0,0,1,0,0,0,1,58,60,34,22,60,58,34,60,1
154,56,1,0,0,0,0,0,85,22,48,26,0,0,0,0,0,0
155,57,0,0,1,0,0,0,10,60,34,0,0,0,0,0,0,0
156,58,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
157,59,0,0,1,0,0,0,1,34,60,7,25,0,0,0,0,0
158,60,0,0,1,0,0,0,66,66,0,0,0,0,0,0,0,0
159,60,0,0,1,0,0,0,66,30,66,30,0,0,0,0,0,0
160,60,0,0,1,0,0,0,66,30,0,0,0,0,0,0,0,0
161,60,0,0,1,0,0,0,66,66,66,66,66,30,66,66,0,0
162,61,0,0,1,0,0,0,60,52,32,34,53,55,0,0,0,0
163,62,0,0,1,0,0,0,85,22,39,60,48,34,26,58,0,0
164,62,0,0,1,0,0,0,39,10,60,34,48,0,0,0,0,0
165,63,0,0,1,0,0,0,48,38,85,22,1,26,47,48,85,38
166,63,0,0,0,0,0,1,38,85,22,1,26,48,85,38,1,22
167,64,0,0,1,0,0,0,66,30,66,30,0,0,0,0,0,0
168,64,0,0,1,0,0,0,30,66,0,0,0,0,0,0,0,0
169,64,0,0,1,0,0,0,66,30,0,0,0,0,0,0,0,0
170,65,0,0,1,0,0,0,60,52,53,0,0,0,0,0,0,0
171,65,0,0,1,0,0,0,7,52,60,85,0,0,0,0,0,0
172,65,0,0,1,0,0,0,60,7,52,85,0,0,0,0,0,0
173,65,0,0,1,0,0,0,60,7,52,85,60,7,52,85,60,7
174,66,0,0,1,0,0,0,55,53,52,60,32,34,51,0,0,0
175,67,0,0,1,0,0,0,60,52,34,32,55,52,53,53,55,52
176,67,0,0,1,0,0,0,32,34,52,60,53,55,55,60,32,34
177,67,0,0,1,0,0,0,55,53,52,32,34,60,53,0,0,0
178,67,0,0,1,0,0,0,53,55,52,34,60,53,55,53,60,52
179,67,0,0,1,0,0,0,51,55,53,60,33,0,0,0,0,0
180,68,0,0,1,0,0,0,7,52,32,34,25,60,0,0,0,0
181,68,0,0,1,0,0,0,52,60,7,7,7,7,9,60,7,52
182,69,0,0,1,0,0,0,85,22,48,26,22,26,48,85,1,48
183,70,0,0,1,0,0,0,1,47,53,34,60,0,0,0,0,0
184,71,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
185,72,0,0,1,0,0,0,85,37,24,0,0,0,0,0,0,0
186,72,0,0,0,1,0,0,24,31,0,0,0,0,0,0,0,0
187,73,0,0,1,0,0,0,1,60,34,53,51,53,52,60,32,34
188,73,0,0,1,0,0,0,7,32,52,51,28,51,57,52,0,0
189,73,0,0,1,0,0,0,54,51,28,9,60,34,0,0,0,0
190,73,0,0,1,0,0,0,54,60,51,52,28,85,52,51,57,0
191,74,0,0,1,0,0,0,85,62,62,0,0,0,0,0,0,0
192,75,0,0,1,0,0,0,60,2,85,0,0,0,0,0,0,0
193,76,0,0,1,0,0,0,66,30,66,0,0,0,0,0,0,0
194,77,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
195,78,0,0,1,0,0,0,25,7,7,60,7,0,0,0,0,0
196,78,0,0,1,0,0,0,7,7,60,0,0,0,0,0,0,0
197,78,0,0,1,0,0,0,7,7,7,60,60,7,60,60,6,60
198,79,0,0,0,1,0,0,60,34,63,0,0,0,0,0,0,0
199,80,0,0,1,0,0,0,53,52,32,0,0,0,0,0,0,0
200,80,0,0,1,0,0,0,60,34,0,0,0,0,0,0,0,0
201,80,0,0,1,0,0,0,34,60,0,0,0,0,0,0,0,0
202,80,0,0,1,0,0,0,60,34,53,60,34,32,52,53,53,60
203,80,0,0,1,0,0,0,52,32,0,0,0,0,0,0,0,0
204,80,0,0,1,0,0,0,53,52,32,0,0,0,0,0,0,0
205,80,0,0,1,0,0,0,34,60,0,0,0,0,0,0,0,0
206,81,1,0,0,0,0,0,7,60,7,51,7,0,0,0,0,0
207,81,0,0,1,0,0,0,7,60,7,85,60,7,51,0,0,0
208,81,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0
209,81,1,0,0,0,0,0,7,7,60,7,60,7,7,0,0,0
210,81,0,0,1,0,0,0,7,60,7,7,7,7,60,60,7,7
211,81,0,0,1,0,0,0,25,7,7,7,60,51,7,25,7,25
212,81,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
213,81,0,0,1,0,0,0,7,60,7,51,51,51,7,60,7,7
214,81,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0
215,81,0,0,1,0,0,0,7,60,7,0,0,0,0,0,0,0
216,81,0,0,1,0,0,0,7,7,60,7,0,0,0,0,0,0
217,81,1,0,0,0,0,0,7,7,7,60,7,60,7,7,7,60
218,81,1,0,0,0,0,0,7,7,60,7,0,0,0,0,0,0
219,82,0,0,1,0,0,0,1,60,53,0,0,0,0,0,0,0
220,83,1,0,0,0,0,0,7,34,60,0,0,0,0,0,0,0
221,84,0,0,1,0,0,0,4,10,60,34,85,2,60,58,58,58
222,85,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
223,86,0,0,1,0,0,0,60,52,53,55,0,0,0,0,0,0
224,86,0,0,1,0,0,0,55,53,52,60,0,0,0,0,0,0
225,87,0,0,0,1,0,0,30,66,0,0,0,0,0,0,0,0
226,88,1,0,0,0,0,0,60,34,60,7,64,0,0,0,0,0
227,88,0,0,1,0,0,0,1,60,58,34,10,4,4,60,34,7
228,89,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
229,89,0,0,1,0,0,0,85,85,85,85,0,0,0,0,0,0
230,90,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
231,91,0,0,1,0,0,0,53,60,34,51,0,0,0,0,0,0
232,91,0,0,1,0,0,0,32,53,52,51,28,51,60,53,53,34
233,91,0,0,1,0,0,0,60,34,0,0,0,0,0,0,0,0
234,91,0,0,1,0,0,0,60,52,55,52,53,60,34,0,0,0
235,91,0,0,1,0,0,0,55,53,52,0,0,0,0,0,0,0
236,91,0,0,1,0,0,0,53,55,52,60,53,34,32,60,52,53
237,91,0,0,0,1,0,0,52,32,60,9,34,7,51,51,28,52
238,92,1,0,0,0,0,0,85,22,48,26,22,39,0,0,0,0
239,93,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
240,94,1,0,0,0,0,0,51,51,51,51,51,51,51,51,60,52
241,94,1,0,0,0,0,0,52,9,32,0,0,0,0,0,0,0
242,94,1,0,0,0,0,0,34,52,60,0,0,0,0,0,0,0
243,95,0,0,1,0,0,0,7,60,58,25,34,0,0,0,0,0
244,96,1,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0
245,96,1,0,0,0,0,0,69,69,74,69,74,0,0,0,0,0
246,97,0,0,1,0,0,0,53,32,52,0,0,0,0,0,0,0
247,97,0,0,1,0,0,0,60,34,0,0,0,0,0,0,0,0
248,97,0,0,1,0,0,0,53,52,55,60,32,34,53,34,52,60
249,98,0,0,1,0,0,0,32,52,53,55,55,51,28,55,52,51
250,98,0,0,1,0,0,0,52,60,34,32,53,52,53,52,32,60
251,99,0,0,1,0,0,0,85,26,48,22,1,22,26,85,48,26
252,100,0,0,1,0,0,0,60,52,34,32,53,55,60,53,52,53
253,100,0,0,1,0,0,0,7,52,60,32,34,60,34,53,52,32
254,100,0,0,1,0,0,0,7,60,52,34,32,85,0,0,0,0
255,101,0,0,0,1,0,0,7,60,52,58,34,32,0,0,0,0
256,102,0,0,1,0,0,0,60,58,34,0,0,0,0,0,0,0
257,103,0,0,1,0,0,0,66,30,0,0,0,0,0,0,0,0
258,104,0,0,1,0,0,0,30,66,0,0,0,0,0,0,0,0
259,105,0,0,1,0,0,0,1,60,34,53,0,0,0,0,0,0
260,106,0,0,1,0,0,0,52,60,34,32,53,64,0,0,0,0
261,106,0,0,1,0,0,0,52,60,34,32,53,55,0,0,0,0
262,107,0,0,1,0,0,0,85,60,0,0,0,0,0,0,0,0
263,107,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
264,108,0,0,1,0,0,0,32,52,53,52,32,1,34,60,53,53
265,109,0,0,0,1,0,0,69,74,0,0,0,0,0,0,0,0
266,110,0,0,1,0,0,0,52,53,32,60,34,0,0,0,0,0
267,110,0,0,1,0,0,0,53,52,55,60,60,34,32,52,53,60
268,111,0,0,1,0,0,0,52,53,0,0,0,0,0,0,0,0
269,111,0,0,1,0,0,0,52,60,53,60,0,0,0,0,0,0
270,112,1,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
271,113,0,0,1,0,0,0,1,34,7,10,60,25,85,0,0,0
272,114,0,0,1,0,0,0,32,60,52,55,53,0,0,0,0,0
273,115,0,0,0,1,0,0,32,52,52,52,52,14,52,14,52,32
274,116,0,0,1,0,0,0,39,85,22,48,26,0,0,0,0,0
275,117,0,0,1,0,0,0,50,50,22,50,50,50,0,0,0,0
276,117,0,0,1,0,0,0,50,50,50,50,50,50,50,50,50,50
277,117,0,0,1,0,0,0,50,50,50,50,50,50,50,50,50,50
278,117,0,0,1,0,0,0,50,50,50,50,50,50,50,50,50,50
279,117,0,0,1,0,0,0,50,50,50,50,50,50,0,0,0,0
280,117,0,0,1,0,0,0,50,50,50,50,0,0,0,0,0,0
281,117,0,0,1,0,0,0,50,50,50,50,50,50,50,50,50,0
282,118,0,0,1,0,0,0,53,52,60,32,34,53,53,53,34,32
283,118,0,0,1,0,0,0,53,52,60,32,34,60,52,53,34,60
284,118,0,0,1,0,0,0,53,52,60,32,34,0,0,0,0,0
285,118,0,0,1,0,0,0,34,60,53,52,32,0,0,0,0,0
286,118,0,0,1,0,0,0,32,52,53,34,60,53,52,32,60,34
287,118,0,0,1,0,0,0,52,60,53,53,55,60,34,53,32,52
288,118,0,0,1,0,0,0,60,52,32,34,55,52,60,34,32,52
289,118,0,0,1,0,0,0,55,0,0,0,0,0,0,0,0,0
290,119,0,0,1,0,0,0,53,52,53,52,60,0,0,0,0,0
291,120,0,0,1,0,0,0,53,34,60,0,0,0,0,0,0,0
292,121,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
293,122,0,0,1,0,0,0,85,48,85,48,85,0,0,0,0,0
294,123,0,0,0,0,1,0,69,0,0,0,0,0,0,0,0,0
295,124,0,0,1,0,0,0,7,60,25,34,0,0,0,0,0,0
296,125,0,1,0,0,0,0,64,0,0,0,0,0,0,0,0,0
297,126,0,0,1,0,0,0,66,66,0,0,0,0,0,0,0,0
298,127,0,0,0,1,0,0,64,64,0,0,0,0,0,0,0,0
299,127,1,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
300,127,1,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
301,127,1,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
302,127,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
303,128,1,0,0,0,0,0,1,7,60,22,0,0,0,0,0,0
304,128,0,0,1,0,0,0,1,60,7,0,0,0,0,0,0,0
305,129,0,0,1,0,0,0,60,7,58,25,34,64,0,0,0,0
306,130,0,0,0,1,0,0,69,69,0,0,0,0,0,0,0,0
307,130,0,0,1,0,0,0,85,48,0,0,0,0,0,0,0,0
308,131,0,0,1,0,0,0,1,47,60,34,7,1,60,34,1,34
309,132,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
310,133,0,0,0,1,0,0,69,0,0,0,0,0,0,0,0,0
311,134,0,0,1,0,0,0,66,30,0,0,0,0,0,0,0,0
312,135,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
313,136,0,0,1,0,0,0,66,30,0,0,0,0,0,0,0,0
314,137,0,0,1,0,0,0,66,30,0,0,0,0,0,0,0,0
315,138,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
316,138,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
317,139,0,0,1,0,0,0,85,22,48,0,0,0,0,0,0,0
318,140,0,0,1,0,0,0,34,58,60,0,0,0,0,0,0,0
319,141,1,0,0,0,0,0,22,48,26,1,22,48,26,0,0,0
320,142,1,0,0,0,0,0,1,7,34,60,25,0,0,0,0,0
321,143,0,0,1,0,0,0,66,66,66,0,0,0,0,0,0,0
322,143,0,0,1,0,0,0,66,66,66,66,66,0,0,0,0,0
323,143,0,0,1,0,0,0,66,30,66,0,0,0,0,0,0,0
324,144,0,0,0,1,0,0,64,64,64,64,64,64,64,64,64,34
325,144,0,0,1,0,0,0,85,34,60,53,52,0,0,0,0,0
326,145,0,0,1,0,0,0,1,7,60,58,25,34,0,0,0,0
327,145,0,0,1,0,0,0,47,1,58,7,60,34,25,0,0,0
328,146,0,0,1,0,0,0,1,34,58,60,0,0,0,0,0,0
329,146,0,0,1,0,0,0,58,60,34,1,34,60,58,0,0,0
330,146,0,0,0,1,0,0,69,0,0,0,0,0,0,0,0,0
331,147,0,0,1,0,0,0,34,60,53,0,0,0,0,0,0,0
332,148,0,0,1,0,0,0,66,66,0,0,0,0,0,0,0,0
333,149,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
334,150,0,0,1,0,0,0,69,71,0,0,0,0,0,0,0,0
335,150,0,0,1,0,0,0,1,82,74,0,0,0,0,0,0,0
336,150,1,0,0,0,0,0,69,71,85,0,0,0,0,0,0,0
337,150,0,0,1,0,0,0,82,1,0,0,0,0,0,0,0,0
338,150,0,0,0,1,0,0,71,85,0,0,0,0,0,0,0,0
339,151,0,0,1,0,0,0,52,53,0,0,0,0,0,0,0,0
340,151,0,0,1,0,0,0,7,25,60,9,52,0,0,0,0,0
341,151,0,0,1,0,0,0,52,1,60,34,53,0,0,0,0,0
342,151,0,0,1,0,0,0,60,34,53,52,53,60,22,0,0,0
343,151,0,0,1,0,0,0,1,47,0,0,0,0,0,0,0,0
344,151,0,0,1,0,0,0,52,0,0,0,0,0,0,0,0,0
345,152,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
346,153,0,0,1,0,0,0,60,34,53,52,32,53,52,60,32,34
347,153,0,0,1,0,0,0,34,60,52,53,32,60,34,32,52,53
348,154,0,0,0,1,0,0,69,69,69,69,69,69,69,69,69,69
349,154,0,0,0,1,0,0,69,0,0,0,0,0,0,0,0,0
350,154,0,0,0,1,0,0,69,0,0,0,0,0,0,0,0,0
351,154,0,0,0,1,0,0,69,69,0,0,0,0,0,0,0,0
352,154,0,0,0,1,0,0,69,0,0,0,0,0,0,0,0,0
353,154,0,0,0,1,0,0,69,0,0,0,0,0,0,0,0,0
354,154,0,0,0,1,0,0,69,0,0,0,0,0,0,0,0,0
355,155,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
356,156,1,0,0,0,0,0,60,52,55,51,28,28,51,28,51,52
357,157,0,0,1,0,0,0,85,48,22,26,0,0,0,0,0,0
358,158,0,0,1,0,0,0,60,58,34,85,85,0,0,0,0,0
359,159,0,0,1,0,0,0,34,60,52,32,53,60,34,53,32,52
360,160,0,0,0,1,0,0,50,60,50,0,0,0,0,0,0,0
361,161,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
362,161,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0
363,161,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0
364,162,0,0,1,0,0,0,30,66,0,0,0,0,0,0,0,0
365,163,0,0,1,1,0,0,34,9,60,7,85,0,0,0,0,0
366,163,0,0,1,0,0,0,34,60,53,64,60,53,55,60,9,60
367,163,0,0,1,0,0,0,52,53,32,0,0,0,0,0,0,0
368,163,0,0,1,0,0,0,53,32,52,53,60,51,53,52,60,34
369,163,0,0,1,0,0,0,53,52,60,32,55,53,52,60,53,60
370,163,0,0,1,0,0,0,60,34,0,0,0,0,0,0,0,0
371,163,0,0,1,0,0,0,53,52,34,32,60,60,34,53,32,52
372,164,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
373,165,0,0,0,1,0,0,69,0,0,0,0,0,0,0,0,0
374,166,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
375,166,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
376,167,0,0,1,0,0,0,60,52,58,34,32,0,0,0,0,0
377,167,0,0,1,0,0,0,52,60,7,58,34,25,32,60,60,52
378,167,1,0,1,0,0,0,4,60,52,34,32,60,52,58,34,32
379,168,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
380,169,0,0,1,0,0,0,26,22,48,39,1,22,26,22,26,48
381,170,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
382,170,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
