,基站,故障,告警-1,告警-2,告警-3,告警-4,告警-5,告警0,告警1,告警2,告警3,告警4,告警5,告警6,告警7,告警8,告警9,告警10,告警11,告警12,告警13,告警14,上一次故障
56,15,2,4,52,60,32,34,32,34,52,60,10,50,34,60,52,32,10,60,4,52,32,2
57,15,2,52,60,32,34,60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
58,15,2,52,52,32,34,60,32,34,52,60,34,32,60,52,0,0,0,0,0,0,0,2
59,15,2,34,32,52,60,4,52,34,32,60,10,4,60,34,52,32,34,60,52,52,34,2
60,15,2,52,10,10,50,50,4,60,52,34,32,4,4,60,4,34,4,60,34,52,32,2
61,16,2,0,0,0,0,0,66,30,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
62,17,2,85,25,34,60,7,1,34,60,53,0,0,0,0,0,0,0,0,0,0,0,-1
63,17,2,0,0,0,0,0,1,7,60,34,25,85,0,0,0,0,0,0,0,0,0,2
64,18,0,15,15,15,15,52,16,52,32,60,34,52,15,52,15,15,15,15,52,15,15,-1
65,18,0,60,15,34,32,52,52,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0
66,18,0,1,32,52,15,15,60,16,34,15,15,15,15,15,15,15,15,15,15,15,15,0
67,18,2,34,60,15,34,60,60,34,32,52,15,15,15,15,15,15,52,32,1,0,0,0
68,18,0,52,15,52,15,60,32,14,52,60,60,14,60,60,52,60,34,52,60,32,52,2
69,18,2,60,52,32,14,60,52,60,52,60,34,32,52,60,14,14,60,34,32,52,14,0
70,19,2,48,26,22,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
71,19,2,48,0,0,0,0,85,22,26,48,0,0,0,0,0,0,0,0,0,0,0,2
72,20,2,0,0,0,0,0,47,1,34,60,7,0,0,0,0,0,0,0,0,0,0,-1
73,21,3,71,71,71,71,71,69,71,71,85,85,9,52,60,9,0,0,0,0,0,0,-1
74,21,3,71,71,71,69,71,69,71,71,85,71,71,69,71,71,71,71,71,71,0,0,3
75,21,3,71,71,71,71,71,69,71,71,71,0,0,0,0,0,0,0,0,0,0,0,3
76,21,3,71,71,71,71,53,69,71,71,69,71,71,71,71,71,71,71,71,71,71,71,3
77,21,2,71,71,71,71,71,52,60,32,34,53,71,71,71,71,71,71,69,71,60,53,3
78,22,2,60,53,55,53,55,55,52,53,52,55,32,53,34,60,0,0,0,0,0,0,-1
79,22,2,53,53,53,34,60,52,60,55,53,60,52,34,55,53,52,32,60,52,53,55,2
80,22,2,60,7,34,1,32,85,1,60,34,53,53,53,0,0,0,0,0,0,0,0,2
81,23,2,60,53,53,22,26,53,52,32,53,52,60,32,34,32,60,52,53,60,53,0,-1
82,24,2,0,0,0,0,0,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
83,25,2,0,0,0,0,0,30,66,66,0,0,0,0,0,0,0,0,0,0,0,0,-1
84,25,2,0,0,0,0,0,66,30,66,66,0,0,0,0,0,0,0,0,0,0,0,2
85,26,2,52,52,32,15,52,32,52,15,52,15,52,15,15,15,15,52,15,52,15,15,-1
86,26,2,15,52,52,52,52,52,15,32,52,52,60,32,52,52,15,52,52,52,15,15,2
87,26,2,52,34,60,52,52,52,60,32,15,60,52,60,52,15,60,52,15,60,52,52,2
88,26,2,52,52,60,52,52,60,34,52,0,0,0,0,0,0,0,0,0,0,0,0,2
89,26,2,15,52,60,15,15,60,52,15,32,52,15,52,15,15,52,15,60,52,16,60,2
90,26,2,60,52,32,60,15,34,52,60,52,60,32,60,18,16,34,60,52,16,18,60,2
91,27,2,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
92,28,2,85,52,7,60,53,60,7,52,85,0,0,0,0,0,0,0,0,0,0,0,-1
93,28,2,53,60,85,7,60,60,7,52,85,0,0,0,0,0,0,0,0,0,0,0,2
94,28,0,85,52,7,60,0,52,60,7,85,60,53,0,0,0,0,0,0,0,0,0,2
95,28,2,85,52,7,60,0,60,7,52,85,0,0,0,0,0,0,0,0,0,0,0,0
96,28,2,60,53,85,52,7,60,7,52,85,60,7,52,85,60,7,52,85,0,0,0,2
97,28,2,85,0,0,0,0,60,7,52,85,60,7,52,85,53,60,0,0,0,0,0,2
98,28,2,85,7,52,60,85,52,7,60,85,60,52,53,85,0,0,0,0,0,0,0,2
99,28,2,85,52,7,60,85,60,52,7,85,0,0,0,0,0,0,0,0,0,0,0,2
100,28,2,85,52,7,60,0,60,7,52,85,0,0,0,0,0,0,0,0,0,0,0,2
101,28,2,85,52,7,60,0,60,7,52,85,0,0,0,0,0,0,0,0,0,0,0,2
102,28,2,0,0,0,0,0,52,7,60,85,60,7,52,85,0,0,0,0,0,0,0,2
103,29,2,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
104,30,2,85,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
105,31,0,60,0,0,0,0,64,60,64,60,64,64,60,64,0,0,0,0,0,0,0,-1
106,32,2,34,60,0,0,0,32,53,52,60,53,0,0,0,0,0,0,0,0,0,0,-1
107,32,2,0,0,0,0,0,60,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2
108,32,2,0,0,0,0,0,53,52,60,32,34,60,53,0,0,0,0,0,0,0,0,2
109,33,2,60,0,0,0,0,53,52,60,52,53,0,0,0,0,0,0,0,0,0,0,-1
110,34,2,85,85,85,85,85,85,85,85,85,85,6,34,60,45,45,45,60,6,7,25,-1
111,34,2,0,0,0,0,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,2
112,35,2,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
113,36,2,0,0,0,0,0,60,34,53,0,0,0,0,0,0,0,0,0,0,0,0,-1
114,37,2,66,66,30,0,0,30,66,30,66,66,30,30,66,30,66,66,30,66,30,0,-1
115,37,2,0,0,0,0,0,30,66,66,0,0,0,0,0,0,0,0,0,0,0,0,2
116,38,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
117,39,2,53,34,60,53,34,53,60,34,60,6,34,6,7,6,60,34,0,0,0,0,-1
118,39,0,34,60,85,60,7,7,25,85,60,34,53,60,34,53,0,0,0,0,0,0,2
119,39,3,9,7,32,52,7,25,34,7,60,85,60,34,0,0,0,0,0,0,0,0,0
120,39,3,51,51,51,51,51,51,51,60,52,51,51,51,51,51,51,51,51,51,60,52,3
121,40,2,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
122,41,2,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
123,42,2,0,0,0,0,0,66,66,66,66,66,0,0,0,0,0,0,0,0,0,0,-1
124,43,2,53,52,60,64,64,60,52,53,55,0,0,0,0,0,0,0,0,0,0,0,-1
125,43,2,53,55,60,52,53,60,52,55,53,55,53,52,60,0,0,0,0,0,0,0,2
126,43,2,53,53,55,52,60,60,52,55,53,53,52,60,55,53,0,0,0,0,0,0,2
127,43,2,53,53,53,55,52,60,52,55,53,53,0,0,0,0,0,0,0,0,0,0,2
128,44,2,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
129,45,2,66,0,0,0,0,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0,-1
130,45,2,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
131,46,2,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
132,47,2,48,1,22,26,48,85,22,26,48,0,0,0,0,0,0,0,0,0,0,0,-1
133,47,3,71,69,69,0,0,71,69,85,22,48,26,22,1,48,0,0,0,0,0,0,2
134,48,2,0,0,0,0,0,60,1,34,53,60,0,0,0,0,0,0,0,0,0,0,-1
135,49,3,66,66,66,0,0,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
136,50,2,34,60,9,85,0,7,9,25,85,0,0,0,0,0,0,0,0,0,0,0,-1
137,50,2,34,60,85,34,60,25,7,85,0,0,0,0,0,0,0,0,0,0,0,0,2
138,50,2,85,34,60,0,0,60,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2
139,50,2,34,60,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
140,51,2,0,0,0,0,0,1,47,60,58,34,7,25,0,0,0,0,0,0,0,0,-1
141,51,0,57,51,60,7,60,7,7,7,60,0,0,0,0,0,0,0,0,0,0,0,2
142,51,0,60,60,57,7,60,7,7,7,7,60,7,7,25,60,7,7,60,9,25,7,0
143,51,2,60,58,0,0,0,7,49,49,60,7,57,60,60,0,0,0,0,0,0,0,0
144,52,0,52,60,55,55,55,28,51,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
145,52,0,55,55,55,55,55,60,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,52,0,52,7,60,0,0,55,55,55,55,55,55,55,55,55,55,0,0,0,0,0,0
147,52,0,60,0,0,0,0,7,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,53,3,7,7,60,7,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
149,53,3,7,60,7,60,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
150,53,3,60,60,60,60,60,7,60,7,0,0,0,0,0,0,0,0,0,0,0,0,3
151,53,3,60,4,34,60,7,7,60,9,7,60,9,60,9,60,60,9,60,9,60,60,3
152,54,2,0,0,0,0,0,60,52,53,0,0,0,0,0,0,0,0,0,0,0,0,-1
153,55,2,48,38,38,38,38,85,22,48,26,0,0,0,0,0,0,0,0,0,0,0,-1
154,55,2,34,60,58,1,1,1,60,58,34,1,34,58,60,4,1,38,38,38,38,38,2
155,55,2,1,58,58,1,34,1,58,60,34,0,0,0,0,0,0,0,0,0,0,0,2
156,55,2,0,0,0,0,0,1,58,60,34,22,60,58,34,60,1,58,34,34,1,60,2
157,56,0,28,51,48,1,51,85,22,48,26,0,0,0,0,0,0,0,0,0,0,0,-1
158,57,2,0,0,0,0,0,10,60,34,0,0,0,0,0,0,0,0,0,0,0,0,-1
159,58,2,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
160,59,2,25,7,34,60,1,1,34,60,7,25,0,0,0,0,0,0,0,0,0,0,-1
161,60,2,30,66,30,66,30,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
162,60,2,30,66,66,66,30,66,30,66,30,0,0,0,0,0,0,0,0,0,0,0,2
163,60,2,66,66,30,66,66,66,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2
164,60,2,66,66,0,0,0,66,66,66,66,66,30,66,66,0,0,0,0,0,0,0,2
165,61,2,0,0,0,0,0,60,52,32,34,53,55,0,0,0,0,0,0,0,0,0,-1
166,62,2,48,34,60,10,39,85,22,39,60,48,34,26,58,0,0,0,0,0,0,0,-1
167,62,2,1,39,60,58,34,39,10,60,34,48,0,0,0,0,0,0,0,0,0,0,2
168,63,2,1,47,85,38,48,48,38,85,22,1,26,47,48,85,38,4,1,38,85,48,-1
169,63,5,48,38,48,38,48,38,85,22,1,26,48,85,38,1,22,26,85,48,38,1,2
170,64,2,0,0,0,0,0,66,30,66,30,0,0,0,0,0,0,0,0,0,0,0,-1
171,64,2,0,0,0,0,0,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,2
172,64,2,0,0,0,0,0,66,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2
173,65,2,85,60,52,7,0,60,52,53,0,0,0,0,0,0,0,0,0,0,0,0,-1
174,65,2,85,52,7,60,0,7,52,60,85,0,0,0,0,0,0,0,0,0,0,0,2
175,65,2,85,52,7,60,0,60,7,52,85,0,0,0,0,0,0,0,0,0,0,0,2
176,65,2,0,0,0,0,0,60,7,52,85,60,7,52,85,60,7,52,85,0,0,0,2
177,66,2,0,0,0,0,0,55,53,52,60,32,34,51,0,0,0,0,0,0,0,0,-1
178,67,2,52,53,34,32,60,60,52,34,32,55,52,53,53,55,52,32,34,60,0,0,-1
179,67,2,53,60,34,32,52,32,34,52,60,53,55,55,60,32,34,53,52,0,0,0,2
180,67,2,51,55,53,52,60,55,53,52,32,34,60,53,0,0,0,0,0,0,0,0,2
181,67,2,33,60,53,55,51,53,55,52,34,60,53,55,53,60,52,53,55,51,0,0,2
182,67,2,53,53,53,60,52,51,55,53,60,33,0,0,0,0,0,0,0,0,0,0,2
183,68,2,60,53,52,60,52,7,52,32,34,25,60,0,0,0,0,0,0,0,0,0,-1
184,68,2,7,60,0,0,0,52,60,7,7,7,7,9,60,7,52,53,52,60,52,53,2
185,69,2,39,51,39,48,48,85,22,48,26,22,26,48,85,1,48,85,60,7,0,0,-1
186,70,2,53,34,60,1,39,1,47,53,34,60,0,0,0,0,0,0,0,0,0,0,-1
187,71,2,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
188,72,2,31,24,37,85,0,85,37,24,0,0,0,0,0,0,0,0,0,0,0,0,-1
189,72,3,37,85,0,0,0,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2
190,73,2,52,57,51,28,51,1,60,34,53,51,53,52,60,32,34,64,0,0,0,0,-1
191,73,2,34,60,9,28,51,7,32,52,51,28,51,57,52,0,0,0,0,0,0,0,2
192,73,2,57,51,52,85,28,54,51,28,9,60,34,0,0,0,0,0,0,0,0,0,2
193,73,2,34,60,53,1,52,54,60,51,52,28,85,52,51,57,0,0,0,0,0,0,2
194,74,2,60,22,0,0,0,85,62,62,0,0,0,0,0,0,0,0,0,0,0,0,-1
195,75,2,85,60,2,0,0,60,2,85,0,0,0,0,0,0,0,0,0,0,0,0,-1
196,76,2,0,0,0,0,0,66,30,66,0,0,0,0,0,0,0,0,0,0,0,0,-1
197,77,2,66,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
198,78,2,60,7,7,60,60,25,7,7,60,7,0,0,0,0,0,0,0,0,0,0,-1
199,78,2,60,60,7,34,60,7,7,60,0,0,0,0,0,0,0,0,0,0,0,0,2
200,78,2,85,7,60,34,7,7,7,7,60,60,7,60,60,6,60,7,85,60,34,7,2
201,79,3,63,34,60,0,0,60,34,63,0,0,0,0,0,0,0,0,0,0,0,0,-1
202,80,2,34,60,60,34,0,53,52,32,0,0,0,0,0,0,0,0,0,0,0,0,-1
203,80,2,60,34,0,0,0,60,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2
204,80,2,32,52,53,34,60,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2
205,80,2,32,52,32,52,53,60,34,53,60,34,32,52,53,53,60,34,60,34,53,52,2
206,80,2,32,52,53,60,34,52,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2
207,80,2,60,34,0,0,0,53,52,32,0,0,0,0,0,0,0,0,0,0,0,0,2
208,80,2,0,0,0,0,0,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2
209,81,0,51,7,60,85,7,7,60,7,51,7,0,0,0,0,0,0,0,0,0,0,-1
210,81,2,7,0,0,0,0,7,60,7,85,60,7,51,0,0,0,0,0,0,0,0,0
211,81,0,7,7,60,7,60,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2
212,81,0,51,7,60,7,51,7,7,60,7,60,7,7,0,0,0,0,0,0,0,0,0
213,81,2,7,60,7,7,7,7,60,7,7,7,7,60,60,7,7,60,7,51,7,60,0
214,81,2,7,51,7,25,7,25,7,7,7,60,51,7,25,7,25,7,7,60,7,7,2
215,81,0,51,7,25,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
216,81,2,7,7,60,7,7,7,60,7,51,51,51,7,60,7,7,25,7,51,0,0,0
217,81,2,7,60,7,7,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
218,81,2,7,60,7,7,7,7,60,7,0,0,0,0,0,0,0,0,0,0,0,0,2
219,81,2,7,60,7,7,0,7,7,60,7,0,0,0,0,0,0,0,0,0,0,0,2
220,81,0,7,60,7,7,7,7,7,7,60,7,60,7,7,7,60,7,0,0,0,0,2
221,81,0,7,6,60,0,0,7,7,60,7,0,0,0,0,0,0,0,0,0,0,0,0
222,82,2,53,60,1,53,1,1,60,53,0,0,0,0,0,0,0,0,0,0,0,0,-1
223,83,0,0,0,0,0,0,7,34,60,0,0,0,0,0,0,0,0,0,0,0,0,-1
224,84,2,4,50,4,4,57,4,10,60,34,85,2,60,58,58,58,58,60,58,60,0,-1
225,85,2,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
226,86,2,0,0,0,0,0,60,52,53,55,0,0,0,0,0,0,0,0,0,0,0,-1
227,86,2,0,0,0,0,0,55,53,52,60,0,0,0,0,0,0,0,0,0,0,0,2
228,87,3,0,0,0,0,0,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
229,88,0,0,0,0,0,0,60,34,60,7,64,0,0,0,0,0,0,0,0,0,0,-1
230,88,2,60,58,34,60,58,1,60,58,34,10,4,4,60,34,7,6,60,0,0,0,0
231,89,2,85,85,85,85,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
232,89,2,85,85,85,85,85,85,85,85,85,0,0,0,0,0,0,0,0,0,0,0,2
233,90,2,51,28,60,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
234,91,2,60,34,53,53,60,53,60,34,51,0,0,0,0,0,0,0,0,0,0,0,-1
235,91,2,34,60,0,0,0,32,53,52,51,28,51,60,53,53,34,60,0,0,0,0,2
236,91,2,0,0,0,0,0,60,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2
237,91,2,52,53,55,60,0,60,52,55,52,53,60,34,0,0,0,0,0,0,0,0,2
238,91,2,60,0,0,0,0,55,53,52,0,0,0,0,0,0,0,0,0,0,0,0,2
239,91,2,55,53,60,52,0,53,55,52,60,53,34,32,60,52,53,53,34,60,53,52,2
240,91,3,0,0,0,0,0,52,32,60,9,34,7,51,51,28,52,60,53,55,0,0,2
241,92,0,39,48,60,1,9,85,22,48,26,22,39,0,0,0,0,0,0,0,0,0,-1
242,93,2,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
243,94,0,51,51,51,32,52,51,51,51,51,51,51,51,51,60,52,32,51,51,51,51,-1
244,94,0,60,52,34,9,60,52,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0
245,94,0,9,60,60,51,7,34,52,60,0,0,0,0,0,0,0,0,0,0,0,0,0
246,95,2,60,1,0,0,0,7,60,58,25,34,0,0,0,0,0,0,0,0,0,0,-1
247,96,0,74,69,74,69,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
248,96,0,74,69,69,0,0,69,69,74,69,74,0,0,0,0,0,0,0,0,0,0,0
249,97,2,34,60,52,0,0,53,32,52,0,0,0,0,0,0,0,0,0,0,0,0,-1
250,97,2,52,0,0,0,0,60,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2
251,97,2,52,60,52,55,0,53,52,55,60,32,34,53,34,52,60,32,52,0,0,0,2
252,98,2,60,34,0,0,0,32,52,53,55,55,51,28,55,52,51,55,34,32,60,51,-1
253,98,2,0,0,0,0,0,52,60,34,32,53,52,53,52,32,60,34,52,60,32,34,2
254,99,2,51,48,38,38,38,85,26,48,22,1,22,26,85,48,26,22,22,1,39,38,-1
255,100,2,34,60,52,53,0,60,52,34,32,53,55,60,53,52,53,34,32,60,52,53,-1
256,100,2,85,32,34,52,60,7,52,60,32,34,60,34,53,52,32,0,0,0,0,0,2
257,100,2,53,52,34,60,0,7,60,52,34,32,85,0,0,0,0,0,0,0,0,0,2
258,101,3,60,0,0,0,0,7,60,52,58,34,32,0,0,0,0,0,0,0,0,0,-1
259,102,2,0,0,0,0,0,60,58,34,0,0,0,0,0,0,0,0,0,0,0,0,-1
260,103,2,0,0,0,0,0,66,30,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
261,104,2,0,0,0,0,0,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
262,105,2,0,0,0,0,0,1,60,34,53,0,0,0,0,0,0,0,0,0,0,0,-1
263,106,2,0,0,0,0,0,52,60,34,32,53,64,0,0,0,0,0,0,0,0,0,-1
264,106,2,85,34,51,60,0,52,60,34,32,53,55,0,0,0,0,0,0,0,0,0,2
265,107,2,85,0,0,0,0,85,60,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
266,107,2,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
267,108,2,60,0,0,0,0,32,52,53,52,32,1,34,60,53,53,52,60,53,52,60,-1
268,109,3,0,0,0,0,0,69,74,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
269,110,2,0,0,0,0,0,52,53,32,60,34,0,0,0,0,0,0,0,0,0,0,-1
270,110,2,34,32,60,53,52,53,52,55,60,60,34,32,52,53,60,34,53,52,60,34,2
271,111,2,60,53,60,52,0,52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
272,111,2,0,0,0,0,0,52,60,53,60,0,0,0,0,0,0,0,0,0,0,0,2
273,112,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
274,113,2,0,0,0,0,0,1,34,7,10,60,25,85,0,0,0,0,0,0,0,0,-1
275,114,2,0,0,0,0,0,32,60,52,55,53,0,0,0,0,0,0,0,0,0,0,-1
276,115,3,52,14,52,52,52,32,52,52,52,52,14,52,14,52,32,52,52,32,52,52,-1
277,116,2,28,51,39,48,1,39,85,22,48,26,0,0,0,0,0,0,0,0,0,0,-1
278,117,2,50,50,50,50,50,50,50,22,50,50,50,0,0,0,0,0,0,0,0,0,-1
279,117,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,2
280,117,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,2
281,117,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,2
282,117,2,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,2
283,117,2,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,2
284,117,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,2
